id,value
id_0,25.293918086877515
id_1,63.62987911835382
id_2,18.969946397341367
id_3,29.473751535098565
id_4,9.367550785977524
id_5,33.01781265579065
id_6,41.04118733968026
id_7,17.648441089623994
id_8,52.4730406488716
id_9,32.498043176829995
id_10,38.85830323486687
id_11,58.64192467281059
id_12,35.29646616942229
id_13,41.63264253683684
id_14,26.776442994522675
id_15,12.456829343017926
id_16,51.63276824352746
id_17,23.607891419843426
id_18,17.838954907791937
id_19,18.995844942467613
id_20,15.787212731777334
id_21,31.130428769469944
id_22,38.88222608900073
id_23,11.0524192743928
id_24,61.40377510368829
id_25,46.25255333352793
id_26,28.76071138370148
id_27,7.017780577622267
id_28,29.368338813606066
id_29,36.637482967592234
id_30,18.03537712797997
id_31,11.61749274456194
id_32,16.620966273974965
id_33,7.800724304887965
id_34,15.72432919365696
id_35,42.365647600284255
id_36,22.204440202306962
id_37,27.7500897850455
id_38,8.705187901860588
id_39,58.89347666493986
id_40,47.77898794388837
id_41,20.13058052797465
id_42,52.59040369824585
id_43,18.405909606798843
id_44,44.79922746722896
id_45,49.50103788846402
id_46,57.39430934352053
id_47,41.02753135214462
id_48,55.45278151888116
id_49,39.58149273276639
id_50,30.365560423677003
id_51,24.250343671544332
id_52,38.78342507408593
id_53,23.567637256273173
id_54,37.410306318506535
id_55,38.72573413881481
id_56,24.825205573432978
id_57,21.92324148094367
id_58,35.663004621935926
id_59,32.334944307317926
id_60,13.51921310053123
id_61,22.127350638122905
id_62,32.517959817885846
id_63,53.97992439500311
id_64,50.58789778815827
id_65,25.741561222562165
id_66,38.31090590777447
id_67,52.686753894264584
id_68,28.62825579603909
id_69,39.79798405232144
id_70,64.71624796044982
id_71,55.53271035184622
id_72,42.229386073326985
id_73,13.845607362957573
id_74,14.079607787229284
id_75,35.82636636596936
id_76,62.57986197785674
id_77,2.5621658841280373
id_78,41.31397616899997
id_79,42.38660419831372
id_80,8.383683370370314
id_81,22.8855413770482
id_82,5.236851295708336
id_83,30.827981044047647
id_84,8.467275342063884
id_85,5.051464462522936
id_86,17.182418105400245
id_87,11.253599950307217
id_88,20.13862035463451
id_89,25.282623666573958
id_90,34.99745166437446
id_91,11.56741124598409
id_92,12.586323990587784
id_93,9.017882035888999
id_94,38.102665763692904
id_95,14.776148413858849
id_96,16.882936257688865
id_97,8.772042020344312
id_98,11.599343249644392
id_99,4.8207939394688895
id_100,9.8339957998454
id_101,18.22138671302554
id_102,11.963844871786499
id_103,8.08443582762174
id_104,12.683583424418593
id_105,36.57066262533961
id_106,26.001729187445356
id_107,7.38844102298654
id_108,16.68588608344709
id_109,15.09755366682633
id_110,12.12204884153551
id_111,16.708121283093774
id_112,16.272285806478294
id_113,26.45136276821841
id_114,18.895916631045242
id_115,16.435969170770917
id_116,5.894564005669588
id_117,46.00944540124886
id_118,26.7625968227782
id_119,0.5340176087957778
id_120,-0.9990998451830067
id_121,9.253591961430539
id_122,12.816526377089572
id_123,12.682008214514429
id_124,7.481265782715234
id_125,25.10204829503779
id_126,21.082501820241443
id_127,10.30751200144045
id_128,20.51406962494768
id_129,14.324476142540734
